
Standard & Poors 500 Index,Last: 4252.73,Change:  -5.46
Date: 2023年10月6日 GMT-4 11:20,Bid: 4251.6602,Ask: 4253.7402,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Oct 09 2023,SPXW231009C04260000,17.3,-8.7,17.4,17.6,1035,0.1324,0.4465,0.0075,1444,4260.00,SPXW231009P04260000,25.3,-1.55,24.9,25.2,666,0.1321,-0.553,0.0075,937
Mon Oct 09 2023,SPXW231009C04265000,15,-8.45,15.1,15.3,598,0.1312,0.4088,0.0074,231,4265.00,SPXW231009P04265000,27,-2.3,27.6,27.9,149,0.1316,-0.5907,0.0074,264
Tue Oct 10 2023,SPXW231010C04240000,34.6,-7.8,34.3,34.6,117,0.1507,0.5782,0.0056,81,4240.00,SPXW231010P04240000,21.4,-1.25,21.2,21.5,86,0.1508,-0.4214,0.0056,246
Tue Oct 10 2023,SPXW231010C04245000,30.8,-8.5,31.4,31.7,43,0.1495,0.55,0.0058,75,4245.00,SPXW231010P04245000,25.44,0.89,23.2,23.5,96,0.1497,-0.4495,0.0058,402
Tue Oct 10 2023,SPXW231010C04250000,28.79,-7.56,28.5,28.8,148,0.1487,0.5213,0.0058,99,4250.00,SPXW231010P04250000,26.8,0.25,25.4,25.7,68,0.1488,-0.4782,0.0058,639
Tue Oct 10 2023,SPXW231010C04255000,26.6,-6.85,25.9,26.1,75,0.1476,0.492,0.0059,59,4255.00,SPXW231010P04255000,28.38,-0.32,27.7,28,87,0.1478,-0.5075,0.0059,79
Tue Oct 10 2023,SPXW231010C04260000,22.5,-8.25,23.3,23.6,141,0.1465,0.4624,0.0059,89,4260.00,SPXW231010P04260000,30.83,-0.12,30.2,30.4,55,0.1467,-0.5372,0.0059,520
Tue Oct 10 2023,SPXW231010C04265000,20.9,-7.25,20.9,21.1,76,0.1454,0.4325,0.0059,53,4265.00,SPXW231010P04265000,35.4,1.95,32.7,33,34,0.1459,-0.567,0.0059,130
Wed Oct 11 2023,SPXW231011C04240000,38.1,-8.55,39.3,39.6,173,0.1591,0.5701,0.0048,102,4240.00,SPXW231011P04240000,26.3,-0.05,25.7,25.9,138,0.159,-0.4294,0.0048,295
Wed Oct 11 2023,SPXW231011C04245000,34,-9.55,36.3,36.6,55,0.1579,0.5461,0.0049,115,4245.00,SPXW231011P04245000,30.9,2.6,27.7,28,78,0.158,-0.4534,0.0049,121
Wed Oct 11 2023,SPXW231011C04250000,34.3,-6.25,33.5,33.7,638,0.1568,0.5216,0.005,196,4250.00,SPXW231011P04250000,30.6,0.25,29.9,30.1,121,0.157,-0.4779,0.005,1151
Wed Oct 11 2023,SPXW231011C04255000,32.1,-5.65,30.8,31,139,0.1556,0.4967,0.005,137,4255.00,SPXW231011P04255000,34.7,2.15,32.2,32.4,84,0.1561,-0.5028,0.005,82
Wed Oct 11 2023,SPXW231011C04260000,27.9,-7.05,28.1,28.4,70,0.1545,0.4716,0.005,169,4260.00,SPXW231011P04260000,35.34,0.59,34.6,34.9,66,0.1552,-0.528,0.005,331
Wed Oct 11 2023,SPXW231011C04265000,23.9,-8.45,25.7,25.9,146,0.1536,0.4462,0.005,149,4265.00,SPXW231011P04265000,35.7,-1.35,37.1,37.4,26,0.1541,-0.5534,0.005,384
Thu Oct 12 2023,SPXW231012C04240000,44.35,-7.8,45.7,46.1,111,0.1715,0.5671,0.0041,71,4240.00,SPXW231012P04240000,30.9,0.5,30.6,30.9,134,0.1713,-0.4328,0.0041,194
Thu Oct 12 2023,SPXW231012C04245000,41.3,-7.75,42.7,43.1,14,0.1703,0.5466,0.0042,56,4245.00,SPXW231012P04245000,40.75,8.4,32.6,33,23,0.1704,-0.4532,0.0042,79
Thu Oct 12 2023,SPXW231012C04250000,39.1,-6.95,39.9,40.2,235,0.1694,0.5259,0.0042,143,4250.00,SPXW231012P04250000,37.9,3.55,34.8,35.1,25,0.1694,-0.4739,0.0042,1582
Thu Oct 12 2023,SPXW231012C04255000,35.63,-7.57,37.1,37.5,37,0.1684,0.5049,0.0042,45,4255.00,SPXW231012P04255000,37.4,0.95,37,37.3,215,0.1684,-0.495,0.0042,117
Thu Oct 12 2023,SPXW231012C04260000,33.9,-6.55,34.5,34.9,129,0.1674,0.4836,0.0043,61,4260.00,SPXW231012P04260000,40.6,1.95,39.4,39.7,528,0.1674,-0.5162,0.0043,193
Thu Oct 12 2023,SPXW231012C04265000,37.2,0,31.9,32.3,0,0.1663,0.4621,0.0043,121,4265.00,SPXW231012P04265000,48.52,7.47,41.8,42.2,17,0.1664,-0.5377,0.0043,240
Fri Oct 13 2023,SPXW231013C04240000,49.1,-6.65,49.4,49.7,162,0.1731,0.5651,0.0038,423,4240.00,SPXW231013P04240000,34.65,1.2,33.6,33.8,110,0.173,-0.4347,0.0038,474
Fri Oct 13 2023,SPXW231013C04245000,46.3,-6.35,46.4,46.7,1734,0.172,0.5463,0.0038,151,4245.00,SPXW231013P04245000,35.5,0.15,35.7,35.9,138,0.1721,-0.4535,0.0038,1268
Fri Oct 13 2023,SPXW231013C04250000,43.5,-6.25,43.5,43.9,401,0.171,0.5272,0.0039,859,4250.00,SPXW231013P04250000,41.79,4.44,37.8,38.1,230,0.1712,-0.4726,0.0039,2858
Fri Oct 13 2023,SPXW231013C04255000,41,-5.85,40.8,41.1,126,0.1702,0.5078,0.0039,231,4255.00,SPXW231013P04255000,41,1.5,40,40.3,100,0.1701,-0.492,0.0039,650
Fri Oct 13 2023,SPXW231013C04260000,38.3,-5.65,38.1,38.4,1065,0.1691,0.4882,0.0039,234,4260.00,SPXW231013P04260000,43.15,1.5,42.3,42.6,162,0.169,-0.5116,0.0039,638
Fri Oct 13 2023,SPXW231013C04265000,33.5,-7.75,35.5,35.8,130,0.168,0.4684,0.004,298,4265.00,SPXW231013P04265000,44.6,0.65,44.8,45.1,93,0.1682,-0.5314,0.004,483
Mon Oct 16 2023,SPXW231016C04240000,47.2,-12.35,53.5,53.8,32,0.1588,0.5623,0.0035,28,4240.00,SPXW231016P04240000,39.24,2.49,37.1,37.4,21,0.1588,-0.4372,0.0035,303
Mon Oct 16 2023,SPXW231016C04245000,50.2,-6.35,50.4,50.8,6,0.1578,0.5451,0.0035,89,4245.00,SPXW231016P04245000,40,1.3,39.1,39.5,60,0.158,-0.4544,0.0035,168
Mon Oct 16 2023,SPXW231016C04250000,47.8,-5.7,47.6,47.9,43,0.157,0.5276,0.0035,206,4250.00,SPXW231016P04250000,41.2,0.55,41.2,41.5,67,0.1571,-0.4719,0.0035,1812
Mon Oct 16 2023,SPXW231016C04255000,45.5,-5.1,44.8,45.1,7,0.1561,0.5099,0.0036,40,4255.00,SPXW231016P04255000,53.64,0,43.4,43.7,0,0.1562,-0.4896,0.0036,135
Mon Oct 16 2023,SPXW231016C04260000,33.05,-14.75,42.1,42.4,5,0.1552,0.492,0.0036,179,4260.00,SPXW231016P04260000,46.7,1.75,45.7,46,18,0.1553,-0.5075,0.0036,144
Mon Oct 16 2023,SPXW231016C04265000,40,-5.05,39.4,39.8,27,0.1542,0.4739,0.0036,200,4265.00,SPXW231016P04265000,67.04,19.84,48,48.4,2,0.1543,-0.5256,0.0036,103
Tue Oct 17 2023,SPXW231017C04240000,56.35,-6.4,56.7,57.1,6,0.1616,0.5613,0.0032,249,4240.00,SPXW231017P04240000,41.35,2.2,39.7,40.1,3,0.1616,-0.4382,0.0032,66
Tue Oct 17 2023,SPXW231017C04245000,53.8,0,53.8,54.1,0,0.1606,0.5452,0.0033,81,4245.00,SPXW231017P04245000,47.33,0,41.7,42.1,0,0.1607,-0.4544,0.0033,54
Tue Oct 17 2023,SPXW231017C04250000,50,-6.7,50.8,51.2,2,0.1596,0.5288,0.0033,126,4250.00,SPXW231017P04250000,44.8,1.7,43.8,44.2,5,0.1598,-0.4707,0.0033,496
Tue Oct 17 2023,SPXW231017C04255000,46.27,-7.48,48,48.4,1,0.1588,0.5122,0.0034,46,4255.00,SPXW231017P04255000,47.75,2.55,46,46.4,2,0.1589,-0.4873,0.0034,134
Tue Oct 17 2023,SPXW231017C04260000,43.59,-7.31,45.3,45.7,12,0.158,0.4955,0.0034,96,4260.00,SPXW231017P04260000,62.9,15.6,48.3,48.6,2,0.1582,-0.504,0.0034,201
Tue Oct 17 2023,SPXW231017C04265000,41.75,-6.4,42.6,43,5,0.1569,0.4786,0.0034,294,4265.00,SPXW231017P04265000,52.84,3.24,50.6,51,4,0.1571,-0.521,0.0034,386
Wed Oct 18 2023,SPXW231018C04240000,66.1,0,59.8,60.2,0,0.1639,0.5604,0.0031,938,4240.00,SPXW231018P04240000,53,11.4,42.2,42.6,2,0.1639,-0.4392,0.0031,101
Wed Oct 18 2023,SPXW231018C04245000,50.75,-11.95,56.9,57.2,6,0.1629,0.5452,0.0031,99,4245.00,SPXW231018P04245000,45.1,1.6,44.2,44.5,13,0.163,-0.4544,0.0031,42
Wed Oct 18 2023,SPXW231018C04250000,53.9,-5.8,54,54.3,51,0.162,0.5297,0.0031,1583,4250.00,SPXW231018P04250000,47.72,2.27,46.3,46.7,32,0.1621,-0.4698,0.0031,1067
Wed Oct 18 2023,SPXW231018C04255000,52.2,-4.6,51.1,51.5,7,0.1612,0.5141,0.0032,38,4255.00,SPXW231018P04255000,48,0.45,48.5,48.8,10,0.1611,-0.4854,0.0032,39
Wed Oct 18 2023,SPXW231018C04260000,43.05,-10.85,48.3,48.7,40,0.1601,0.4982,0.0032,90,4260.00,SPXW231018P04260000,52.82,3.12,50.7,51.1,312,0.1603,-0.5013,0.0032,104
Wed Oct 18 2023,SPXW231018C04265000,40.6,-10.55,45.7,46.1,56,0.1593,0.4822,0.0032,111,4265.00,SPXW231018P04265000,55.42,3.52,53,53.4,3,0.1593,-0.5173,0.0032,53
Thu Oct 19 2023,SPXW231019C04240000,55.11,0,63.7,64.1,0,0.1668,0.5627,0.0029,47,4240.00,SPXW231019P04240000,44.87,0,44.4,44.8,0,0.1667,-0.4372,0.0029,131
Thu Oct 19 2023,SPXW231019C04245000,56.33,0,60.7,61.1,0,0.166,0.5483,0.0029,44,4245.00,SPXW231019P04245000,60.75,15.2,46.4,46.8,2,0.1659,-0.4515,0.0029,36
Thu Oct 19 2023,SPXW231019C04250000,57.79,-5.66,57.8,58.1,2,0.1649,0.5337,0.003,53,4250.00,SPXW231019P04250000,51.96,4.41,48.5,48.9,35,0.1651,-0.4661,0.003,1146
Thu Oct 19 2023,SPXW231019C04255000,61.9,0,54.9,55.3,0,0.1642,0.519,0.003,92,4255.00,SPXW231019P04255000,52.88,0,50.6,51,0,0.1642,-0.4808,0.003,53
Thu Oct 19 2023,SPXW231019C04260000,59.4,0,52.1,52.5,0,0.1632,0.5041,0.003,70,4260.00,SPXW231019P04260000,50.78,0,52.8,53.2,0,0.1635,-0.4958,0.003,121
Thu Oct 19 2023,SPXW231019C04265000,49,-5.85,49.4,49.8,2,0.1623,0.489,0.003,25,4265.00,SPXW231019P04265000,53.71,0,55.1,55.5,0,0.1624,-0.5108,0.003,21
Fri Oct 20 2023,SPXW231020C04245000,61.9,-7.3,63.5,63.9,29,0.1674,0.5483,0.0028,256,4245.00,SPXW231020P04245000,49.68,1.88,48.8,49.1,34,0.1678,-0.4516,0.0028,416
Fri Oct 20 2023,SPX231020C04250000,59.4,-5.35,58.9,59.6,175,0.1637,0.5351,0.0029,4378,4250.00,SPX231020P04250000,49.5,1.15,49.1,49.8,244,0.164,-0.4648,0.0029,21061
Fri Oct 20 2023,SPXW231020C04250000,57.9,-8.35,60.6,60.9,76,0.1666,0.5344,0.0028,993,4250.00,SPXW231020P04250000,50.6,0.85,50.8,51.2,125,0.1669,-0.4655,0.0028,2664
Fri Oct 20 2023,SPX231020C04255000,57.51,-4.29,56,56.7,1,0.1627,0.5206,0.0029,210,4255.00,SPX231020P04255000,64.85,14.5,51.2,52,8,0.163,-0.4793,0.0029,912
Fri Oct 20 2023,SPXW231020C04255000,57.7,-5.55,57.7,58.1,29,0.1658,0.5203,0.0028,254,4255.00,SPXW231020P04255000,53.13,1.33,52.9,53.2,34,0.1661,-0.4795,0.0028,342
Fri Oct 20 2023,SPX231020C04260000,54.26,-4.64,53.3,53.9,96,0.1619,0.5059,0.003,263,4260.00,SPX231020P04260000,53.21,0.81,53.4,54.2,47,0.1621,-0.494,0.003,3514
Mon Oct 23 2023,SPXW231023C04240000,61.5,-13.9,69.7,70.1,16,0.1608,0.5613,0.0026,14,4240.00,SPXW231023P04240000,50.2,1.9,49.2,49.6,1,0.1609,-0.4382,0.0026,66
Mon Oct 23 2023,SPXW231023C04245000,52.7,-19.55,66.6,67.1,17,0.1599,0.5483,0.0027,64,4245.00,SPXW231023P04245000,53.28,0,51.2,51.6,0,0.1601,-0.4513,0.0027,18
Mon Oct 23 2023,SPXW231023C04250000,53.75,-15.55,63.7,64.1,66,0.1591,0.5351,0.0027,40,4250.00,SPXW231023P04250000,57.36,5.16,53.2,53.6,1,0.1591,-0.4645,0.0027,487
Mon Oct 23 2023,SPXW231023C04255000,59.2,-7.1,60.9,61.3,20,0.1582,0.5217,0.0027,37,4255.00,SPXW231023P04255000,55.3,0,55.3,55.7,0,0.1583,-0.4778,0.0027,7
Mon Oct 23 2023,SPXW231023C04260000,53.2,-10.2,58,58.4,1,0.1574,0.5082,0.0027,29,4260.00,SPXW231023P04260000,57.94,1.64,57.5,57.9,17,0.1575,-0.4914,0.0027,151
Mon Oct 23 2023,SPXW231023C04265000,71.3,0,55.3,55.7,0,0.1566,0.4945,0.0027,19,4265.00,SPXW231023P04265000,61.9,0,59.7,60.1,0,0.1567,-0.505,0.0027,33
Tue Oct 24 2023,SPXW231024C04240000,72.09,-5.71,72.2,72.6,1,0.1623,0.561,0.0025,6,4240.00,SPXW231024P04240000,59.97,0,51.2,51.6,0,0.1624,-0.4386,0.0025,35
Tue Oct 24 2023,SPXW231024C04245000,69.75,0,69.2,69.6,0,0.1614,0.5484,0.0026,4,4245.00,SPXW231024P04245000,67.5,15.45,53.1,53.6,2,0.1615,-0.4511,0.0026,20
Tue Oct 24 2023,SPXW231024C04250000,71.87,0,66.2,66.7,0,0.1606,0.5357,0.0026,28,4250.00,SPXW231024P04250000,68.3,0,55.2,55.6,0,0.1607,-0.4638,0.0026,106
Tue Oct 24 2023,SPXW231024C04255000,68.89,0,63.3,63.8,0,0.1598,0.5229,0.0026,30,4255.00,SPXW231024P04255000,57,0,57.3,57.7,0,0.1599,-0.4767,0.0026,16
Tue Oct 24 2023,SPXW231024C04260000,60.49,-5.31,60.5,61,4,0.1589,0.5099,0.0026,11,4260.00,SPXW231024P04260000,57.77,0,59.4,59.9,0,0.1591,-0.4897,0.0026,13
Tue Oct 24 2023,SPXW231024C04265000,54.2,0,57.8,58.2,0,0.158,0.4967,0.0026,4,4265.00,SPXW231024P04265000,84.22,0,61.7,62.1,0,0.1582,-0.5028,0.0026,19
Wed Oct 25 2023,SPXW231025C04240000,82,0,74.7,75.2,0,0.1636,0.561,0.0025,21,4240.00,SPXW231025P04240000,53.8,1.8,53,53.5,1,0.1638,-0.4386,0.0025,58
Wed Oct 25 2023,SPXW231025C04245000,76.31,0,71.7,72.1,0,0.1628,0.5489,0.0025,14,4245.00,SPXW231025P04245000,51.11,0,55,55.4,0,0.1628,-0.4507,0.0025,6
Wed Oct 25 2023,SPXW231025C04250000,67.2,0,68.8,69.2,0,0.162,0.5366,0.0025,114,4250.00,SPXW231025P04250000,65.2,0,57,57.5,0,0.1621,-0.463,0.0025,110
Wed Oct 25 2023,SPXW231025C04255000,69.19,0,65.8,66.3,0,0.1612,0.5242,0.0025,3,4255.00,SPXW231025P04255000,67.1,0,59.2,59.6,0,0.1613,-0.4754,0.0025,16
Wed Oct 25 2023,SPXW231025C04260000,67.06,0,63,63.4,0,0.1603,0.5116,0.0025,25,4260.00,SPXW231025P04260000,71.95,12,61.3,61.7,1,0.1604,-0.488,0.0025,57
Wed Oct 25 2023,SPXW231025C04265000,63.53,0,60.2,60.7,0,0.1595,0.4989,0.0026,52,4265.00,SPXW231025P04265000,75,12.9,63.5,63.9,2,0.1596,-0.5007,0.0026,104
Thu Oct 26 2023,SPXW231026C04240000,71.9,-11.65,78,78.5,1,0.1652,0.5647,0.0024,4,4240.00,SPXW231026P04240000,56.59,3.24,54.4,54.8,2,0.1653,-0.4356,0.0024,16
Thu Oct 26 2023,SPXW231026C04245000,70.9,0,75,75.5,0,0.1645,0.5526,0.0024,7,4245.00,SPXW231026P04245000,53.67,0,56.3,56.8,0,0.1644,-0.4473,0.0024,2
Thu Oct 26 2023,SPXW231026C04250000,62.9,-14.55,72,72.5,14,0.1636,0.5408,0.0024,150,4250.00,SPXW231026P04250000,70.5,13.35,58.4,58.8,5,0.1637,-0.4591,0.0024,278
Thu Oct 26 2023,SPXW231026C04255000,74.9,0,69.1,69.6,0,0.1628,0.5288,0.0024,11,4255.00,SPXW231026P04255000,63.5,0,60.4,60.9,0,0.1628,-0.4711,0.0024,20
Thu Oct 26 2023,SPXW231026C04260000,72.1,0,66.2,66.7,0,0.1619,0.5171,0.0024,15,4260.00,SPXW231026P04260000,73.3,12.15,62.5,63,2,0.1619,-0.4832,0.0024,35
Thu Oct 26 2023,SPXW231026C04265000,69.43,0,63.4,63.9,0,0.1611,0.5049,0.0025,4,4265.00,SPXW231026P04265000,79.56,16.31,64.7,65.2,2,0.1611,-0.4954,0.0025,4
Fri Oct 27 2023,SPXW231027C04240000,77.4,-8.35,80.5,80.9,14,0.1666,0.564,0.0023,127,4240.00,SPXW231027P04240000,68.77,13.77,56.3,56.7,1,0.1666,-0.4358,0.0023,297
Fri Oct 27 2023,SPXW231027C04245000,69.8,-12.85,77.4,77.9,7,0.1656,0.5528,0.0023,153,4245.00,SPXW231027P04245000,60.4,3.5,58.3,58.7,17,0.1659,-0.4471,0.0023,1044
Fri Oct 27 2023,SPXW231027C04250000,74.3,-5.3,74.5,74.8,135,0.1648,0.5413,0.0023,703,4250.00,SPXW231027P04250000,63.6,4.8,60.3,60.7,41,0.1651,-0.4586,0.0023,1210
Fri Oct 27 2023,SPXW231027C04255000,76.34,0,71.5,71.9,0,0.164,0.5297,0.0024,123,4255.00,SPXW231027P04255000,63.5,2.7,62.3,62.7,34,0.1641,-0.4702,0.0024,127
Fri Oct 27 2023,SPXW231027C04260000,72.88,0,68.6,69.1,0,0.1631,0.518,0.0024,169,4260.00,SPXW231027P04260000,64.8,1.95,64.4,64.8,9,0.1633,-0.4818,0.0024,395
Fri Oct 27 2023,SPXW231027C04265000,60.5,-10.2,65.8,66.2,1,0.1623,0.5062,0.0024,113,4265.00,SPXW231027P04265000,63.92,0,66.6,67,0,0.1625,-0.4937,0.0024,185
Mon Oct 30 2023,SPXW231030C04240000,76.99,0,82.9,83.4,0,0.1614,0.5629,0.0022,54,4240.00,SPXW231030P04240000,60.59,3.34,58.4,58.9,2,0.1615,-0.4366,0.0022,47
Mon Oct 30 2023,SPXW231030C04245000,71.5,-13.65,79.8,80.4,1,0.1604,0.552,0.0022,10,4245.00,SPXW231030P04245000,70.7,11.55,60.4,60.9,1,0.1606,-0.4476,0.0022,95
Mon Oct 30 2023,SPXW231030C04250000,76.08,-5.97,76.9,77.4,2,0.1596,0.541,0.0023,98,4250.00,SPXW231030P04250000,72,10.95,62.4,62.9,1,0.1598,-0.4586,0.0023,68
Mon Oct 30 2023,SPXW231030C04255000,82.95,0,73.9,74.4,0,0.1589,0.5298,0.0023,2,4255.00,SPXW231030P04255000,76.6,13.55,64.4,64.9,1,0.159,-0.4698,0.0023,1
Mon Oct 30 2023,SPXW231030C04260000,79.24,0,71.1,71.6,0,0.158,0.5184,0.0023,85,4260.00,SPXW231030P04260000,79.6,14.5,66.5,67,1,0.1584,-0.4812,0.0023,31
Mon Oct 30 2023,SPXW231030C04265000,72.94,0,68.2,68.7,0,0.1573,0.507,0.0023,2,4265.00,SPXW231030P04265000,64.65,0,68.7,69.2,0,0.1574,-0.4926,0.0023,29
Tue Oct 31 2023,SPXW231031C04240000,81.36,0,85.2,85.6,0,0.1624,0.563,0.0022,101,4240.00,SPXW231031P04240000,68,9.05,60.2,60.6,4,0.1627,-0.4366,0.0022,415
Tue Oct 31 2023,SPXW231031C04245000,82.6,-4.8,82.2,82.5,16,0.1616,0.5528,0.0022,138,4245.00,SPXW231031P04245000,62.8,1.95,62.1,62.5,75,0.1619,-0.4472,0.0022,221
Tue Oct 31 2023,SPXW231031C04250000,79.9,-4.45,79.2,79.5,47,0.1608,0.5416,0.0022,277,4250.00,SPXW231031P04250000,67.7,4.9,64.1,64.5,667,0.161,-0.4579,0.0022,3497
Tue Oct 31 2023,SPXW231031C04255000,76,-5.35,76.2,76.6,4,0.1599,0.5312,0.0022,113,4255.00,SPXW231031P04255000,68.6,3.85,66.2,66.6,43,0.1604,-0.4688,0.0022,146
Tue Oct 31 2023,SPXW231031C04260000,72.63,-5.77,73.3,73.7,2,0.1592,0.5202,0.0022,109,4260.00,SPXW231031P04260000,69.3,2.5,68.3,68.7,268,0.1596,-0.4798,0.0022,536
Tue Oct 31 2023,SPXW231031C04265000,70.7,-4.8,70.5,70.9,7,0.1583,0.5091,0.0022,77,4265.00,SPXW231031P04265000,81.4,12.5,70.4,70.8,21,0.1587,-0.4909,0.0022,135
